chunk,feature,importance_gain,importance_split,auc_train,auc_valid
15,f101_nyg_low_normal_AMT_CREDIT_d_AMT_ANNUITY_min,2031.69461,128,0.83389,0.75746
91,f105_past_payment_sum_max-d-income,2029.4231,176,0.83953,0.76301
17,f101_nyg_low_normal_cnt_unpaid_max,2027.75693,121,0.83718,0.7592
5,f101_approved_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_mean,2003.26421,143,0.8519,0.76573
15,f101_nyg_low_normal_AMT_CREDIT_d_AMT_APPLICATION_mean,1998.83856,130,0.83389,0.75746
48,f103_approved_AMT_CREDIT_d_AMT_APPLICATION_max,1994.66991,145,0.83501,0.75805
6,f101_approved_cnt_unpaid_max,1978.88279,110,0.8483,0.76456
48,f103_active_interest_rate_mean,1969.85379,123,0.83501,0.75805
46,f103_active_AMT_GOODS_PRICE_d_total_debt_min,1967.62722,104,0.83057,0.75789
8,f101_completed_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_max,1966.68577,146,0.84426,0.76097
52,f103_completed_AMT_GOODS_PRICE_d_total_debt_mean,1962.31334,142,0.8316,0.75751
48,f103_approved_AMT_CREDIT_d_AMT_ANNUITY_mean,1958.2398,151,0.83501,0.75805
17,f101_nyg_low_normal_cnt_unpaid_mean,1947.52974,120,0.83718,0.7592
92,f108_AMT_ANNUITY-d-app_AMT_ANNUITY,1942.67919,154,0.84362,0.76146
7,f101_completed_AMT_GOODS_PRICE_d_app_AMT_ANNUITY_max,1932.01977,97,0.83954,0.75981
15,f101_nyg_low_normal_AMT_CREDIT_d_total_debt_max,1920.9263,124,0.83389,0.75746
93,f108_DAYS_DECISION-s-app_DAYS_BIRTH,1910.81931,129,0.83976,0.75943
91,f105_prevapp_future_payment_11m,1910.54303,118,0.83953,0.76301
55,f103_nyg_high_AMT_GOODS_PRICE_d_total_debt_mean,1904.13687,73,0.82658,0.75773
4,f101_approved_AMT_CREDIT_d_AMT_APPLICATION_max,1897.54019,153,0.84768,0.7614
18,f101_nyg_middle_AMT_CREDIT_d_AMT_APPLICATION_mean,1896.95576,112,0.83725,0.76071
11,f101_nyg_high_DAYS_LAST_DUE_1ST_VERSION_s_DAYS_DECISIONS_mean,1886.84585,132,0.83395,0.75827
4,f101_approved_AMT_CREDIT_d_AMT_ANNUITY_mean,1880.83431,150,0.84768,0.7614
46,f103_active_AMT_GOODS_PRICE_d_total_debt_mean,1874.9234,96,0.83057,0.75789
91,f105_future_payment_20m_min,1874.62705,93,0.83953,0.76301
3,f101_approved_AMT_ANNUITY_s_app_AMT_GOODS_PRICE_min,1871.53372,129,0.84126,0.76227
5,f101_approved_AMT_GOODS_PRICE_s_app_AMT_ANNUITY_max,1871.40174,101,0.8519,0.76573
5,f101_approved_DAYS_FIRST_DUE_s_DAYS_DECISIONS_mean,1862.46695,142,0.8519,0.76573
35,f001_DAYS_REGISTRATION-s-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED,1861.98101,202,0.83096,0.75757
38,f102_nyg_low_normal_AMT_GOODS_PRICE_d_total_debt_mean,1857.80918,104,0.82957,0.75644
93,f108_DAYS_DECISION,1856.40698,124,0.83976,0.75943
5,f101_approved_DAYS_FIRST_DRAWING_d_app_DAYS_BIRTH_mean,1852.33671,74,0.8519,0.76573
74,f104_completed_AMT_CREDIT_d_total_debt_mean,1851.61908,130,0.83124,0.75661
93,f108_SELLERPLACE_AREA,1840.67799,194,0.83976,0.75943
80,f001_DAYS_ID_PUBLISH-s-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_REGISTRATION,1839.38521,216,0.83188,0.75716
40,f102_nyg_middle_AMT_GOODS_PRICE_d_total_debt_min,1832.89874,118,0.82941,0.75849
40,f102_nyg_middle_AMT_GOODS_PRICE_d_total_debt_mean,1827.83296,112,0.82941,0.75849
82,f001_AMT_GOODS_PRICE-d-CNT_FAM_MEMBERS,1825.30797,160,0.83005,0.75724
11,f101_nyg_high_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_min,1809.81441,122,0.83395,0.75827
6,f101_completed_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_mean,1805.56061,127,0.8483,0.76456
50,f103_approved_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_max,1800.3881,125,0.83421,0.75943
64,f103_nyg_middle_CNT_PAYMENT_mean,1797.47853,92,0.83061,0.75712
37,f001_DAYS_REGISTRATION-s-DAYS_BIRTH,1795.2354,185,0.82991,0.75674
74,f104_completed_AMT_CREDIT_d_total_debt_max,1793.82688,135,0.83124,0.75661
8,f101_completed_AMT_GOODS_PRICE_mean,1791.71089,151,0.84426,0.76097
10,f101_nyg_high_AMT_DOWN_PAYMENT_max,1785.31623,108,0.83344,0.75906
69,f001_DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-s-DAYS_REGISTRATION,1783.94231,211,0.82993,0.75797
41,f102_nyg_middle_CNT_PAYMENT_mean,1783.89299,107,0.82976,0.75885
85,f104_nyg_middle_AMT_CREDIT_d_total_debt_min,1779.8596,119,0.82889,0.75727
5,f101_approved_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_BIRTH_min,1773.16895,123,0.8519,0.76573
70,f001_AMT_CREDIT-d-AMT_INCOME_TOTAL,1772.68318,194,0.82954,0.75743
25,f102_active_cnt_unpaid_mean,1767.79083,114,0.83219,0.75936
80,f001_AMT_INCOME_TOTAL,1766.19656,190,0.83188,0.75716
26,f102_approved_AMT_CREDIT_d_total_debt_mean,1760.39569,135,0.83221,0.7589
80,f001_DAYS_REGISTRATION-s-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-s-DAYS_EMPLOYED,1759.39934,198,0.83188,0.75716
20,f101_nyg_middle_total_debt_mean,1758.3827,134,0.83507,0.75998
15,f101_nyg_low_normal_AMT_CREDIT_d_total_debt_min,1753.4584,124,0.83389,0.75746
18,f101_nyg_middle_AMT_GOODS_PRICE_d_total_debt_max,1748.50768,119,0.83725,0.76071
39,f001_AMT_CREDIT-d-cnt_adults,1746.33304,159,0.82932,0.75745
6,f101_approved_NAME_PRODUCT_TYPE_walk_in_mean,1745.36995,95,0.8483,0.76456
8,f101_completed_AMT_GOODS_PRICE_s_app_AMT_CREDIT_max,1743.38756,84,0.84426,0.76097
35,f001_DAYS_ID_PUBLISH-s-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-s-DAYS_EMPLOYED,1739.96761,189,0.83096,0.75757
80,f002_WEEKDAY_APPR_PROCESS_START,1736.03968,196,0.83188,0.75716
2,f101_active_DAYS_LAST_DUE_1ST_VERSION_d_app_DAYS_LAST_PHONE_CHANGE_min,1731.24325,117,0.83383,0.75867
92,f107_DAYS_DECISION-s-app_DAYS_EMPLOYED,1731.04499,121,0.84362,0.76146
